gene	expressed
SLC39A13	TRUE
PSMC3	TRUE
CELF1	TRUE
PTPMT1	TRUE
NDUFS3	TRUE
KBTBD4	TRUE
FAM180B	TRUE
MTCH2	TRUE
AGBL2	TRUE
FNBP4	TRUE
NUP160	TRUE
PTPRJ	TRUE
LOC441601	TRUE
OR5AS1	TRUE
LRRC55	TRUE
APLNR	TRUE
TNKS1BP1	TRUE
SSRP1	TRUE
PRG2	TRUE
SLC43A3	TRUE
RTN4RL2	TRUE
SLC43A1	TRUE
TIMM10	TRUE
UBE2L6	TRUE
YPEL4	TRUE
CLP1	TRUE
ZDHHC5	TRUE
MED19	TRUE
TMX2	TRUE
TMX2-CTNND1	TRUE
SELENOH	TRUE
BTBD18	TRUE
CTNND1	TRUE
OR9Q1	TRUE
OR10Q1	TRUE
LPXN	TRUE
ZFP91	TRUE
ZFP91-CNTF	TRUE
FAM111A	TRUE
LOC101927204	TRUE
OR5A1	TRUE
OSBP	TRUE
PATL1	TRUE
STX3	TRUE
MRPL16	TRUE
GIF	TRUE
TCN1	TRUE
OOSP2	TRUE
MS4A3	TRUE
MS4A2	TRUE
MS4A6A	TRUE
MS4A4A	TRUE
MS4A6E	TRUE
MS4A13	TRUE
CCDC86	TRUE
PTGDR2	TRUE
ZP1	TRUE
PRPF19	TRUE
TMEM109	TRUE
SLC15A3	TRUE
CD5	TRUE
VPS37C	TRUE
TKFC	TRUE
DDB1	TRUE
TMEM138	TRUE
CYB561A3	TRUE
TMEM216	TRUE
CPSF7	TRUE
SDHAF2	TRUE
PPP1R32	TRUE
LRRC10B	TRUE
DAGLA	TRUE
MYRF	TRUE
DKFZP434K028	TRUE
TMEM258	TRUE
FEN1	TRUE
FADS1	TRUE
FADS2	TRUE
FADS3	TRUE
RAB3IL1	TRUE
BEST1	TRUE
FTH1	TRUE
INCENP	TRUE
ASRGL1	TRUE
SCGB1A1	TRUE
AHNAK	TRUE
EEF1G	TRUE
TUT1	TRUE
MTA2	TRUE
ROM1	TRUE
EML3	TRUE
B3GAT3	TRUE
GANAB	TRUE
INTS5	TRUE
C11orf98	TRUE
METTL12	TRUE
UQCC3	TRUE
LBHD1	TRUE
UBXN1	TRUE
LRRN4CL	TRUE
BSCL2	TRUE
GNG3	TRUE
HNRNPUL2-BSCL2	TRUE
HNRNPUL2	TRUE
TTC9C	TRUE
ZBTB3	TRUE
POLR2G	TRUE
TAF6L	TRUE
TMEM179B	TRUE
TMEM223	TRUE
NXF1	TRUE
STX5	TRUE
LOC105369332	TRUE
WDR74	TRUE
SNHG1	TRUE
SLC3A2	TRUE
LGALS12	TRUE
RARRES3	TRUE
PLA2G16	TRUE
ATL3	TRUE
RTN3	TRUE
C11orf95	TRUE
C11orf84	TRUE
MARK2	TRUE
RCOR2	TRUE
NAA40	TRUE
COX8A	TRUE
OTUB1	TRUE
MACROD1	TRUE
STIP1	TRUE
FERMT3	TRUE
TRPT1	TRUE
NUDT22	TRUE
DNAJC4	TRUE
VEGFB	TRUE
FKBP2	TRUE
PPP1R14B	TRUE
LOC105369340	TRUE
PLCB3	TRUE
BAD	TRUE
GPR137	TRUE
CATSPERZ	TRUE
ESRRA	TRUE
TRMT112	TRUE
PRDX5	TRUE
RPS6KA4	TRUE
LOC100996455	TRUE
SLC22A11	TRUE
NRXN2	TRUE
RASGRP2	TRUE
PYGM	TRUE
SF1	TRUE
MAP4K2	TRUE
MEN1	TRUE
CDC42BPG	TRUE
EHD1	TRUE
MIR194-2HG	TRUE
ATG2A	TRUE
PPP2R5B	TRUE
GPHA2	TRUE
MAJIN	TRUE
BATF2	TRUE
ARL2	TRUE
ARL2-SNX15	TRUE
SNX15	TRUE
SAC3D1	TRUE
CDCA5	TRUE
ZFPL1	TRUE
VPS51	TRUE
TM7SF2	TRUE
ZNHIT2	TRUE
FAU	TRUE
MRPL49	TRUE
SYVN1	TRUE
SPDYC	TRUE
CAPN1	TRUE
LOC728975	TRUE
SLC22A20	TRUE
POLA2	TRUE
CDC42EP2	TRUE
DPF2	TRUE
TIGD3	TRUE
SLC25A45	TRUE
FRMD8	TRUE
NEAT1	TRUE
MALAT1	TRUE
TALAM1	TRUE
SCYL1	TRUE
LTBP3	TRUE
SSSCA1-AS1	TRUE
SSSCA1	TRUE
FAM89B	TRUE
EHBP1L1	TRUE
KCNK7	TRUE
MAP3K11	TRUE
PCNX3	TRUE
SIPA1	TRUE
RELA	TRUE
KAT5	TRUE
RNASEH2C	TRUE
AP5B1	TRUE
CFL1	TRUE
MUS81	TRUE
EFEMP2	TRUE
FIBP	TRUE
CCDC85B	TRUE
FOSL1	TRUE
C11orf68	TRUE
DRAP1	TRUE
SART1	TRUE
BANF1	TRUE
EIF1AD	TRUE
SF3B2	TRUE
PACS1	TRUE
KLC2	TRUE
RAB1B	TRUE
CNIH2	TRUE
YIF1A	TRUE
RIN1	TRUE
BRMS1	TRUE
B4GAT1	TRUE
LOC102724064	TRUE
SLC29A2	TRUE
MRPL11	TRUE
PELI3	TRUE
DPP3	TRUE
LOC101928069	TRUE
BBS1	TRUE
ZDHHC24	TRUE
ACTN3	TRUE
CTSF	TRUE
CCDC87	TRUE
CCS	TRUE
RBM14	TRUE
RBM14-RBM4	TRUE
RBM4	TRUE
RBM4B	TRUE
C11orf80	TRUE
RCE1	TRUE
LRFN4	TRUE
PC	TRUE
C11orf86	TRUE
KDM2A	TRUE
GRK2	TRUE
ANKRD13D	TRUE
LOC100130987	TRUE
POLD4	TRUE
CLCF1	TRUE
RAD9A	TRUE
PPP1CA	TRUE
TBC1D10C	TRUE
CARNS1	TRUE
RPS6KB2	TRUE
PTPRCAP	TRUE
CORO1B	TRUE
GPR152	TRUE
TMEM134	TRUE
AIP	TRUE
PITPNM1	TRUE
CDK2AP2	TRUE
GSTP1	TRUE
C11orf72	TRUE
NDUFV1	TRUE
DOC2GP	TRUE
NUDT8	TRUE
ACY3	TRUE
FAM86C2P	TRUE
UNC93B1	TRUE
ALDH3B1	TRUE
NDUFS8	TRUE
TCIRG1	TRUE
CHKA	TRUE
KMT5B	TRUE
C11orf24	TRUE
LRP5	TRUE
PPP6R3	TRUE
GAL	TRUE
TESMIN	TRUE
CPT1A	TRUE
MRPL21	TRUE
IGHMBP2	TRUE
TPCN2	TRUE
MYEOV	TRUE
LOC102724265	TRUE
LINC01488	TRUE
CCND1	TRUE
ORAOV1	TRUE
FADD	TRUE
PPFIA1	TRUE
CTTN	TRUE
SHANK2-AS1	TRUE
SHANK2-AS3	TRUE
DHCR7	TRUE
NADSYN1	TRUE
FAM86C1	TRUE
ALG1L9P	TRUE
LOC100133315	TRUE
RNF121	TRUE
IL18BP	TRUE
LRTOMT	TRUE
NUMA1	TRUE
LAMTOR1	TRUE
ANAPC15	TRUE
INPPL1	TRUE
CLPB	TRUE
PDE2A	TRUE
ARAP1	TRUE
STARD10	TRUE
ATG16L2	TRUE
FCHSD2	TRUE
ARHGEF17	TRUE
RELT	TRUE
FAM168A	TRUE
PLEKHB1	TRUE
RAB6A	TRUE
MRPL48	TRUE
COA4	TRUE
PAAF1	TRUE
UCP2	TRUE
UCP3	TRUE
C2CD3	TRUE
PPME1	TRUE
PGM2L1	TRUE
KCNE3	TRUE
LOC100287896	TRUE
LIPT2	TRUE
POLD3	TRUE
RNF169	TRUE
XRRA1	TRUE
SPCS2	TRUE
NEU3	TRUE
OR2AT4	TRUE
SLCO2B1	TRUE
ARRB1	TRUE
RPS3	TRUE
GDPD5	TRUE
SERPINH1	TRUE
LOC105369391	TRUE
LOC283214	TRUE
DGAT2	TRUE
LOC100506113	TRUE
UVRAG	TRUE
WNT11	TRUE
THAP12	TRUE
LOC100506127	TRUE
EMSY	TRUE
LRRC32	TRUE
GUCY2EP	TRUE
LOC101928837	TRUE
TSKU	TRUE
ACER3	TRUE
